Roof R-value,Wall R-value,Soffit R-value,Win SHGC,Window U-value,H_Pod_Shade,ERV Efficiency,Global WWR,EUI (kWh/m2),TEDI (kWh/m2),CEDI (kWh/m2),SolarGain,Elec Peak kW,EnCost ($/m2),EnCst Savings (%),SPP,Premium ($)
40,27,27,0.3,0.24,0,0.78,0.42,69.7,24.2,45.4,63,305.7,11.52078262,51%,100,"$1,400,000"
40,27,27,0.4,0.24,0,0.78,0.42,70,22.3,48.6,46,318.2,11.57992734,51%,100,"$1,400,000"
30,24,24,0.21,0.24,0,0.78,0.38,70,26.7,40,46,285.6,11.57689698,51%,100,"$1,400,000"
30,24,24,0.21,0.24,0,0.82,0.38,69.3,25,37.3,46,277.5,11.45551131,51%,100,"$1,400,000"
30,24,27,0.21,0.24,0,0.78,0.38,69.6,26.4,40.3,45,286.8,11.50986015,51%,100,"$1,400,000"
30,27,24,0.21,0.24,0,0.75,0.38,70.3,27.6,42.2,53,292.6,11.63214176,51%,100,"$1,400,000"
30,27,24,0.3,0.24,0,0.82,0.38,68.9,22.3,40.8,53,289.7,11.38857988,52%,100,"$1,400,000"
30,27,24,0.3,0.24,0.4921,0.78,0.38,70,24.6,43.4,59,298.3,11.57438047,51%,100,"$1,400,000"
30,27,24,0.4,0.24,0,0.82,0.38,69,20.5,44.3,58,302.9,11.40846168,51%,100,"$1,400,000"
30,27,24,0.4,0.24,0.4921,0.78,0.38,70.2,22.8,46.8,45,311.1,11.60813604,51%,100,"$1,400,000"
30,27,27,0.21,0.24,0,0.75,0.38,69.9,27.3,42.3,53,292.9,11.56745016,51%,100,"$1,400,000"
30,27,27,0.3,0.24,0,0.78,0.38,69.2,23.7,43.6,59,298.7,11.44690772,51%,100,"$1,400,000"
30,27,27,0.4,0.24,0,0.78,0.38,69.4,21.8,47.1,46,312.1,11.48037343,51%,100,"$1,400,000"
40,24,24,0.21,0.24,0,0.78,0.38,69.9,26.4,40.3,45,286.5,11.56192964,51%,100,"$1,400,000"
40,27,24,0.21,0.24,0,0.75,0.38,70.3,27.3,42.3,53,292.6,11.62053416,51%,100,"$1,400,000"
40,27,24,0.3,0.24,0,0.82,0.38,68.7,22.1,40.8,52,289.9,11.3712146,52%,100,"$1,400,000"
40,27,24,0.3,0.24,0.4921,0.78,0.38,69.9,24.3,43.5,58,298.4,11.55521015,51%,100,"$1,400,000"
40,27,24,0.4,0.24,0,0.82,0.38,68.9,20.2,44.3,58,303.1,11.39385007,52%,100,"$1,400,000"
40,27,24,0.4,0.24,0.4921,0.78,0.38,70.1,22.5,46.9,53,311.2,11.59078394,51%,100,"$1,400,000"
40,27,27,0.3,0.24,0,0.78,0.38,69.1,23.4,43.8,58,299.4,11.43095222,51%,100,"$1,400,000"
40,27,27,0.4,0.24,0,0.78,0.38,69.3,21.5,47.2,50,312.2,11.4643784,51%,100,"$1,400,000"
30,24,24,0.21,0.24,0.4921,0.78,0.42,70.6,28.1,41.3,50,290.2,11.68450111,50%,100,"$1,500,000"
30,24,27,0.21,0.24,0,0.82,0.42,69.3,25.6,38.7,50,282.1,11.46049164,51%,100,"$1,500,000"
30,24,27,0.21,0.24,0.4921,0.78,0.42,70.3,27.7,41.4,49,290.6,11.61990174,51%,100,"$1,500,000"
30,27,24,0.21,0.24,0.4921,0.75,0.42,71,29,43.3,57,296.3,11.75051025,50%,100,"$1,500,000"
30,27,24,0.3,0.24,0.4921,0.82,0.42,69.8,23.7,42.5,63,296.3,11.54185021,51%,100,"$1,500,000"
30,27,24,0.4,0.24,0.4921,0.82,0.42,70.1,21.9,45.8,57,309.1,11.59567204,51%,100,"$1,500,000"
30,27,27,0.3,0.24,0,0.82,0.42,69,22.8,42.7,57,296.9,11.4168281,51%,100,"$1,500,000"
30,27,27,0.3,0.24,0.4921,0.78,0.42,70.1,25.1,45.4,63,305.6,11.59941387,51%,100,"$1,500,000"
30,27,27,0.4,0.24,0,0.82,0.42,69.4,21,45.9,63,309.7,11.47735625,51%,100,"$1,500,000"
30,27,27,0.4,0.24,0.4921,0.78,0.42,70.5,23.3,48.5,50,317.7,11.66741251,50%,100,"$1,500,000"
40,24,24,0.21,0.24,0,0.82,0.42,69.6,25.6,38.6,49,281.9,11.51183647,51%,100,"$1,500,000"
40,24,24,0.21,0.24,0.4921,0.78,0.42,70.6,27.8,41.3,50,290.2,11.67077226,50%,100,"$1,500,000"
40,24,27,0.21,0.24,0,0.78,0.42,69.9,26.9,41.4,49,290.6,11.56427487,51%,100,"$1,500,000"
40,27,24,0.21,0.24,0.4921,0.75,0.42,70.9,28.7,43.3,57,296.4,11.73386962,50%,100,"$1,500,000"
40,27,24,0.3,0.24,0.4921,0.82,0.42,69.7,23.5,42.6,63,296.5,11.52729131,51%,100,"$1,500,000"
40,27,24,0.4,0.24,0.4921,0.82,0.42,70,21.7,45.8,49,309.2,11.57996687,51%,100,"$1,500,000"
40,27,27,0.21,0.24,0,0.75,0.42,70.3,27.9,43.4,57,296.7,11.62511923,51%,100,"$1,500,000"
40,27,27,0.3,0.24,0,0.82,0.42,68.9,22.5,42.8,57,297.1,11.398725,52%,100,"$1,500,000"
40,27,27,0.3,0.24,0.4921,0.78,0.42,70,24.8,45.4,63,305.8,11.5856982,51%,100,"$1,500,000"
40,27,27,0.4,0.24,0,0.82,0.42,69.3,20.7,46,63,309.8,11.46236255,51%,100,"$1,500,000"
40,27,27,0.4,0.24,0.4921,0.78,0.42,70.4,23,48.5,46,317.8,11.65233977,50%,100,"$1,500,000"
30,24,24,0.21,0.24,0.4921,0.78,0.38,70.2,27.2,40,46,285.7,11.61644977,51%,100,"$1,500,000"
30,24,27,0.21,0.24,0,0.82,0.38,68.9,24.7,37.6,45,278.6,11.38906737,52%,100,"$1,500,000"
30,24,27,0.21,0.24,0.4921,0.78,0.38,69.8,26.9,40.3,45,286.8,11.54867511,51%,100,"$1,500,000"
30,27,24,0.21,0.24,0.4921,0.75,0.38,70.6,28.1,42.2,53,292.6,11.67587117,50%,100,"$1,500,000"
30,27,24,0.3,0.24,0.4921,0.82,0.38,69.3,23,40.8,58,289.7,11.45420693,51%,100,"$1,500,000"
30,27,24,0.4,0.24,0.4921,0.82,0.38,69.5,21.2,44.2,53,302.6,11.48958309,51%,100,"$1,500,000"
30,27,27,0.3,0.24,0,0.82,0.38,68.5,22.1,40.9,52,290.1,11.32583825,52%,100,"$1,500,000"
30,27,27,0.3,0.24,0.4921,0.78,0.38,69.6,24.3,43.5,59,298.6,11.51034764,51%,100,"$1,500,000"
30,27,27,0.4,0.24,0,0.82,0.38,68.7,20.2,44.5,58,303.7,11.36291405,52%,100,"$1,500,000"
30,27,27,0.4,0.24,0.4921,0.78,0.38,69.9,22.5,46.9,46,311.3,11.55647499,51%,100,"$1,500,000"
40,24,24,0.21,0.24,0,0.82,0.38,69.2,24.8,37.6,45,278.3,11.43929229,51%,100,"$1,500,000"
40,24,24,0.21,0.24,0.4921,0.78,0.38,70.2,26.9,40.2,46,286.5,11.60452596,51%,100,"$1,500,000"
40,24,27,0.21,0.24,0,0.78,0.38,69.5,26.1,40.3,45,286.8,11.4918888,51%,100,"$1,500,000"
40,27,24,0.21,0.24,0.4921,0.75,0.38,70.5,27.8,42.2,52,292.6,11.66137815,50%,100,"$1,500,000"
40,27,24,0.3,0.24,0.4921,0.82,0.38,69.1,22.7,40.8,58,289.8,11.43443054,51%,100,"$1,500,000"
40,27,24,0.4,0.24,0.4921,0.82,0.38,69.4,20.9,44.2,45,302.8,11.47240227,51%,100,"$1,500,000"
40,27,27,0.21,0.24,0,0.75,0.38,69.8,27,42.3,53,292.9,11.55066461,51%,100,"$1,500,000"
40,27,27,0.3,0.24,0,0.82,0.38,68.4,21.8,41.1,52,290.8,11.3092635,52%,100,"$1,500,000"
40,27,27,0.3,0.24,0.4921,0.78,0.38,69.5,24,43.6,58,298.8,11.49256075,51%,100,"$1,500,000"
40,27,27,0.4,0.24,0,0.82,0.38,68.6,20,44.5,58,303.8,11.34664233,52%,100,"$1,500,000"
40,27,27,0.4,0.24,0.4921,0.78,0.38,69.8,22.3,47,50,311.4,11.54119144,51%,100,"$1,500,000"
30,24,24,0.21,0.24,0.4921,0.82,0.42,69.9,26.4,39.1,50,283.1,11.56527621,51%,100,"$1,600,000"
30,24,27,0.21,0.24,0.4921,0.82,0.42,69.5,26,39.2,50,283.4,11.49775189,51%,100,"$1,600,000"
30,27,24,0.21,0.24,0,0.78,0.42,70.2,27.1,41.3,49,290.3,11.60816239,51%,100,"$1,600,000"
30,27,27,0.21,0.24,0.4921,0.75,0.42,70.6,28.7,43.4,57,296.6,11.68220858,50%,100,"$1,600,000"
30,27,27,0.3,0.24,0.4921,0.82,0.42,69.4,23.4,42.7,63,296.9,11.47841029,51%,100,"$1,600,000"
30,27,27,0.4,0.24,0.4921,0.82,0.42,69.8,21.7,45.8,49,309.3,11.54802951,51%,100,"$1,600,000"
40,24,24,0.21,0.24,0.4921,0.82,0.42,69.8,26.1,39.1,50,283.2,11.55087541,51%,100,"$1,600,000"
40,24,27,0.21,0.24,0,0.82,0.42,69.2,25.3,38.7,49,282.2,11.44186151,51%,100,"$1,600,000"
40,24,27,0.21,0.24,0.4921,0.78,0.42,70.2,27.4,41.4,49,290.6,11.60315571,51%,100,"$1,600,000"
40,27,27,0.21,0.24,0.4921,0.75,0.42,70.8,28.4,43.4,57,295,11.70801934,50%,100,"$1,600,000"
40,27,27,0.3,0.24,0.4921,0.82,0.42,69.3,23.2,42.7,63,297.1,11.46447063,51%,100,"$1,600,000"
40,27,27,0.4,0.24,0.4921,0.82,0.42,69.7,21.4,45.9,46,309.4,11.53323345,51%,100,"$1,600,000"
30,24,24,0.21,0.24,0.4921,0.82,0.38,69.5,25.5,37.8,45,278.8,11.49432626,51%,100,"$1,600,000"
30,24,27,0.21,0.24,0.4921,0.82,0.38,69.1,25.2,38.1,45,279.8,11.42760564,51%,100,"$1,600,000"
30,27,24,0.21,0.24,0,0.78,0.38,69.7,26.2,40.2,45,286.4,11.53356284,51%,100,"$1,600,000"
30,27,27,0.21,0.24,0.4921,0.75,0.38,70.2,27.8,42.3,52,292.9,11.60903197,51%,100,"$1,600,000"
30,27,27,0.3,0.24,0.4921,0.82,0.38,68.9,22.7,40.9,58,290.1,11.38958122,52%,100,"$1,600,000"
30,27,27,0.4,0.24,0.4921,0.82,0.38,69.2,21,44.3,45,302.9,11.43851494,51%,100,"$1,600,000"
40,24,24,0.21,0.24,0.4921,0.82,0.38,69.4,25.3,38,46,279.5,11.48270549,51%,100,"$1,600,000"
40,24,27,0.21,0.24,0,0.82,0.38,68.8,24.4,37.7,45,278.6,11.37155716,52%,100,"$1,600,000"
40,24,27,0.21,0.24,0.4921,0.78,0.38,69.7,26.6,40.3,45,286.9,11.53200813,51%,100,"$1,600,000"
40,27,27,0.21,0.24,0.4921,0.75,0.38,70.1,27.5,42.3,52,292.9,11.58991435,51%,100,"$1,600,000"
40,27,27,0.3,0.24,0.4921,0.82,0.38,68.8,22.4,40.9,58,290.2,11.3720183,52%,100,"$1,600,000"
40,27,27,0.4,0.24,0.4921,0.82,0.38,69.1,20.7,44.3,50,303,11.42259896,51%,100,"$1,600,000"
30,27,24,0.21,0.24,0,0.82,0.42,69.5,25.4,38.6,50,281.9,11.48706658,51%,100,"$1,700,000"
30,27,27,0.21,0.24,0,0.78,0.42,69.8,26.8,41.4,49,290.6,11.54415592,51%,100,"$1,700,000"
40,24,27,0.21,0.24,0.4921,0.82,0.42,69.4,25.7,39.2,49,283.5,11.481467,51%,100,"$1,700,000"
40,27,24,0.21,0.24,0,0.78,0.42,70.1,26.8,41.3,45,290.3,11.59214101,51%,100,"$1,700,000"
30,27,24,0.21,0.24,0,0.82,0.38,69,24.6,37.6,45,278.3,11.41404808,51%,100,"$1,700,000"
30,27,27,0.21,0.24,0,0.78,0.38,69.3,25.9,40.3,45,286.8,11.46896347,51%,100,"$1,700,000"
40,24,27,0.21,0.24,0.4921,0.82,0.38,69,24.9,38.1,45,279.9,11.41150521,51%,100,"$1,700,000"
40,27,24,0.21,0.24,0,0.78,0.38,69.7,25.9,40.3,49,286.5,11.52241638,51%,100,"$1,700,000"
30,27,24,0.21,0.24,0.4921,0.78,0.42,70.4,27.6,41.3,50,290.3,11.65052155,50%,100,"$1,800,000"
30,27,27,0.21,0.24,0,0.82,0.42,69,25.1,38.7,49,282.2,11.42049089,51%,100,"$1,800,000"
30,27,27,0.21,0.24,0.4921,0.78,0.42,70,27.3,41.4,49,290.6,11.58283912,51%,100,"$1,800,000"
40,27,24,0.21,0.24,0,0.82,0.42,69.4,25.1,38.6,49,282,11.4718489,51%,100,"$1,800,000"
40,27,24,0.21,0.24,0.4921,0.78,0.42,70.3,27.3,41.3,49,290.4,11.63393363,51%,100,"$1,800,000"
40,27,27,0.21,0.24,0,0.78,0.42,69.7,26.5,41.4,45,290.7,11.52610552,51%,100,"$1,800,000"
30,27,24,0.21,0.24,0.4921,0.78,0.38,70,26.7,40.2,45,286.4,11.57835946,51%,100,"$1,800,000"
30,27,27,0.21,0.24,0,0.82,0.38,68.6,24.2,37.7,45,278.6,11.34994938,52%,100,"$1,800,000"
30,27,27,0.21,0.24,0.4921,0.78,0.38,69.6,26.4,40.3,45,286.8,11.50958347,51%,100,"$1,800,000"
40,27,24,0.21,0.24,0,0.82,0.38,68.9,24.3,37.6,45,278.3,11.4008199,52%,100,"$1,800,000"
40,27,24,0.21,0.24,0.4921,0.78,0.38,69.9,26.4,40.2,45,286.5,11.56314178,51%,100,"$1,800,000"
40,27,27,0.21,0.24,0,0.78,0.38,69.2,25.6,40.3,49,286.8,11.45307384,51%,100,"$1,800,000"
30,27,24,0.21,0.24,0.4921,0.82,0.42,69.7,25.9,39.1,49,283.2,11.53084869,51%,100,"$1,900,000"
30,27,27,0.21,0.24,0.4921,0.82,0.42,69.3,25.6,39.2,49,283.5,11.46109771,51%,100,"$1,900,000"
40,27,24,0.21,0.24,0.4921,0.82,0.42,69.6,25.6,39.1,49,283.3,11.51448474,51%,100,"$1,900,000"
40,27,27,0.21,0.24,0,0.82,0.42,68.9,24.8,38.7,49,282.3,11.40320466,52%,100,"$1,900,000"
40,27,27,0.21,0.24,0.4921,0.78,0.42,70.2,27,41.4,45,290.5,11.60770125,51%,100,"$1,900,000"
30,27,24,0.21,0.24,0.4921,0.82,0.38,69.3,25,38,45,279.5,11.45414106,51%,100,"$1,900,000"
30,27,27,0.21,0.24,0.4921,0.82,0.38,68.9,24.7,38.1,45,279.8,11.39071431,52%,100,"$1,900,000"
40,27,24,0.21,0.24,0.4921,0.82,0.38,69.2,24.8,38,45,279.5,11.44054396,51%,100,"$1,900,000"
40,27,27,0.21,0.24,0,0.82,0.38,68.5,23.9,37.7,45,278.6,11.33470535,52%,100,"$1,900,000"
40,27,27,0.21,0.24,0.4921,0.78,0.38,69.5,26.1,40.3,49,286.8,11.49203373,51%,100,"$1,900,000"
40,27,27,0.21,0.24,0.4921,0.82,0.42,69.4,25.3,39.2,45,285.7,11.48480039,51%,100,"$2,000,000"
40,27,27,0.21,0.24,0.4921,0.82,0.38,68.8,24.4,38.1,58,279.9,11.37278248,52%,12.9,"$2,000,000"
