Spandrels R,Glass R,Air Leakage,LPD,ERV,Controls,HVAC System,Solar PV,TEUI kWh/m2,TEDI kWh/m2,GHGI kgCO2/m2,En Saving %,GHG Saving%
15,2.8,Improved,Current,None,Current,Current,Yes, 205.2 , 91.4 , 36.8 ,5.0,5.2
15,2.8,Improved,Current,75%,Current,Current,Yes, 172.0 , 56.0 , 30.5 ,20.4,21.6
15,2.8,Improved,25%,None,Current,Current,Yes, 202.8 , 94.0 , 36.5 ,6.1,6.1
15,2.8,Improved,25%,75%,Current,Current,Yes, 169.8 , 58.6 , 30.2 ,21.4,22.4
15,4,Current,Current,None,Current,Current,Yes, 199.7 , 85.4 , 35.8 ,7.5,7.9
15,4,Current,Current,75%,Current,Current,Yes, 166.1 , 50.0 , 29.4 ,23.1,24.4
15,4,Current,25%,None,Current,Current,Yes, 197.2 , 87.8 , 35.4 ,8.7,8.8
15,4,Current,25%,75%,Current,Current,Yes, 163.9 , 52.5 , 29.0 ,24.1,25.3
15,4,Improved,Current,None,Current,Current,Yes, 197.9 , 83.4 , 35.4 ,8.4,8.8
15,4,Improved,Current,75%,Current,Current,Yes, 164.2 , 48.1 , 29.0 ,24.0,25.4
15,4,Improved,25%,None,Current,Current,Yes, 195.3 , 85.8 , 35.1 ,9.6,9.8
15,4,Improved,25%,75%,Current,Current,Yes, 161.9 , 50.5 , 28.6 ,25.0,26.3
15,5.5,Current,Current,None,Current,Current,Yes, 196.1 , 81.5 , 35.1 ,9.2,9.6
15,5.5,Current,Current,75%,Current,Current,Yes, 162.3 , 46.1 , 28.6 ,24.8,26.3
15,5.5,Current,25%,None,Current,Current,Yes, 193.5 , 83.8 , 34.7 ,10.4,10.7
15,5.5,Current,25%,75%,Current,Current,Yes, 159.9 , 48.5 , 28.3 ,26.0,27.2
15,5.5,Improved,Current,None,Current,Current,Yes, 194.1 , 79.5 , 34.7 ,10.1,10.6
15,5.5,Improved,Current,75%,Current,Current,Yes, 160.1 , 44.2 , 28.2 ,25.8,27.4
15,5.5,Improved,25%,None,Current,Current,Yes, 191.7 , 81.8 , 34.4 ,11.2,11.5
15,5.5,Improved,25%,75%,Current,Current,Yes, 157.9 , 46.5 , 27.9 ,26.9,28.2
5,2.8,Current,Current,None,Improved,Current,Yes, 186.6 , 87.0 , 33.5 ,13.6,13.7
5,2.8,Current,Current,75%,Improved,Current,Yes, 157.3 , 55.0 , 27.9 ,27.2,28.2
5,2.8,Current,25%,None,Improved,Current,Yes, 184.4 , 89.7 , 33.2 ,14.6,14.6
5,2.8,Current,25%,75%,Improved,Current,Yes, 155.2 , 57.7 , 27.6 ,28.1,29.0
5,2.8,Improved,Current,None,Improved,Current,Yes, 184.7 , 85.0 , 33.2 ,14.5,14.6
5,2.8,Improved,Current,75%,Improved,Current,Yes, 155.4 , 53.0 , 27.5 ,28.0,29.1
5,2.8,Improved,25%,None,Improved,Current,Yes, 182.4 , 87.7 , 32.8 ,15.5,15.5
5,2.8,Improved,25%,75%,Improved,Current,Yes, 153.3 , 55.7 , 27.2 ,29.0,29.9
5,4,Current,Current,None,Improved,Current,Yes, 179.1 , 78.9 , 32.1 ,17.0,17.4
5,4,Current,Current,75%,Improved,Current,Yes, 149.6 , 47.0 , 26.4 ,30.7,31.9
5,4,Current,25%,None,Improved,Current,Yes, 176.7 , 81.6 , 31.7 ,18.2,18.3
5,4,Current,25%,75%,Improved,Current,Yes, 147.4 , 49.6 , 26.1 ,31.7,32.8
5,4,Improved,Current,None,Improved,Current,Yes, 177.3 , 77.0 , 31.8 ,17.9,18.2
5,4,Improved,Current,75%,Improved,Current,Yes, 147.7 , 45.0 , 26.1 ,31.6,32.9
5,4,Improved,25%,None,Improved,Current,Yes, 174.8 , 79.5 , 31.4 ,19.0,19.2
5,4,Improved,25%,75%,Improved,Current,Yes, 145.5 , 47.6 , 25.7 ,32.6,33.7
5,5.5,Current,Current,None,Improved,Current,Yes, 175.5 , 75.0 , 31.4 ,18.7,19.1
5,5.5,Current,Current,75%,Improved,Current,Yes, 145.8 , 43.0 , 25.7 ,32.5,33.8
5,5.5,Current,25%,None,Improved,Current,Yes, 173.0 , 77.5 , 31.0 ,19.9,20.1
5,5.5,Current,25%,75%,Improved,Current,Yes, 143.5 , 45.5 , 25.4 ,33.5,34.7
5,5.5,Improved,Current,None,Improved,Current,Yes, 173.7 , 73.0 , 31.1 ,19.6,20.0
5,5.5,Improved,Current,75%,Improved,Current,Yes, 143.9 , 41.0 , 25.3 ,33.4,34.8
5,5.5,Improved,25%,None,Improved,Current,Yes, 171.1 , 75.5 , 30.7 ,20.7,21.0
5,5.5,Improved,25%,75%,Improved,Current,Yes, 141.6 , 43.5 , 25.0 ,34.4,35.6
10,2.8,Current,Current,None,Improved,Current,Yes, 181.3 , 81.3 , 32.5 ,16.1,16.3
10,2.8,Current,Current,75%,Improved,Current,Yes, 151.8 , 49.4 , 26.9 ,29.7,30.9
10,2.8,Current,25%,None,Improved,Current,Yes, 178.9 , 84.0 , 32.2 ,17.1,17.2
10,2.8,Current,25%,75%,Improved,Current,Yes, 149.7 , 52.0 , 26.6 ,30.7,31.7
10,2.8,Improved,Current,None,Improved,Current,Yes, 179.4 , 79.4 , 32.2 ,16.9,17.2
10,2.8,Improved,Current,75%,Improved,Current,Yes, 149.9 , 47.4 , 26.5 ,30.6,31.8
10,2.8,Improved,25%,None,Improved,Current,Yes, 177.1 , 82.0 , 31.8 ,18.0,18.1
10,2.8,Improved,25%,75%,Improved,Current,Yes, 147.8 , 50.0 , 26.2 ,31.6,32.6
10,4,Current,Current,None,Improved,Current,Yes, 173.9 , 73.3 , 31.1 ,19.5,19.9
10,4,Current,Current,75%,Improved,Current,Yes, 144.1 , 41.4 , 25.4 ,33.2,34.6
10,4,Current,25%,None,Improved,Current,Yes, 171.4 , 75.8 , 30.7 ,20.6,20.9
10,4,Current,25%,75%,Improved,Current,Yes, 141.9 , 43.9 , 25.1 ,34.3,35.5
10,4,Improved,Current,None,Improved,Current,Yes, 172.1 , 71.4 , 30.8 ,20.3,20.8
10,4,Improved,Current,75%,Improved,Current,Yes, 142.2 , 39.4 , 25.0 ,34.1,35.6
10,4,Improved,25%,None,Improved,Current,Yes, 169.5 , 73.8 , 30.4 ,21.5,21.8
10,4,Improved,25%,75%,Improved,Current,Yes, 139.9 , 41.8 , 24.7 ,35.2,36.5
10,5.5,Current,Current,None,Improved,Current,Yes, 170.3 , 69.4 , 30.4 ,21.1,21.7
10,5.5,Current,Current,75%,Improved,Current,Yes, 140.3 , 37.4 , 24.7 ,35.0,36.5
10,5.5,Current,25%,None,Improved,Current,Yes, 167.7 , 71.8 , 30.0 ,22.3,22.7
10,5.5,Current,25%,75%,Improved,Current,Yes, 137.9 , 39.8 , 24.3 ,36.1,37.4
10,5.5,Improved,Current,None,Improved,Current,Yes, 168.5 , 67.4 , 30.1 ,22.0,22.6
10,5.5,Improved,Current,75%,Improved,Current,Yes, 138.4 , 35.5 , 24.3 ,35.9,37.5
10,5.5,Improved,25%,None,Improved,Current,Yes, 165.8 , 69.8 , 29.7 ,23.2,23.6
10,5.5,Improved,25%,75%,Improved,Current,Yes, 135.9 , 37.8 , 23.9 ,37.1,38.4
15,2.8,Current,Current,None,Improved,Current,Yes, 179.5 , 79.4 , 32.2 ,16.9,17.2
15,2.8,Current,Current,75%,Improved,Current,Yes, 150.0 , 47.4 , 26.5 ,30.6,31.8
15,2.8,Current,25%,None,Improved,Current,Yes, 177.1 , 82.1 , 31.8 ,18.0,18.1
15,2.8,Current,25%,75%,Improved,Current,Yes, 147.8 , 50.1 , 26.2 ,31.6,32.6
15,2.8,Improved,Current,None,Improved,Current,Yes, 177.6 , 77.4 , 31.8 ,17.7,18.1
15,2.8,Improved,Current,75%,Improved,Current,Yes, 148.0 , 45.4 , 26.1 ,31.4,32.7
15,2.8,Improved,25%,None,Improved,Current,Yes, 175.2 , 80.0 , 31.5 ,18.8,19.0
15,2.8,Improved,25%,75%,Improved,Current,Yes, 145.9 , 48.0 , 25.8 ,32.5,33.5
15,4,Current,Current,None,Improved,Current,Yes, 172.1 , 71.4 , 30.8 ,20.3,20.8
15,4,Current,Current,75%,Improved,Current,Yes, 142.2 , 39.4 , 25.0 ,34.1,35.6
15,4,Current,25%,None,Improved,Current,Yes, 169.6 , 73.9 , 30.4 ,21.5,21.8
15,4,Current,25%,75%,Improved,Current,Yes, 139.9 , 41.9 , 24.7 ,35.2,36.4
15,4,Improved,Current,None,Improved,Current,Yes, 170.3 , 69.4 , 30.4 ,21.1,21.7
15,4,Improved,Current,75%,Improved,Current,Yes, 140.3 , 37.5 , 24.7 ,35.0,36.5
15,4,Improved,25%,None,Improved,Current,Yes, 167.7 , 71.9 , 30.0 ,22.3,22.7
15,4,Improved,25%,75%,Improved,Current,Yes, 137.9 , 39.9 , 24.3 ,36.1,37.4
15,5.5,Current,Current,None,Improved,Current,Yes, 168.5 , 67.5 , 30.1 ,22.0,22.6
15,5.5,Current,Current,75%,Improved,Current,Yes, 138.4 , 35.5 , 24.3 ,35.9,37.5
15,5.5,Current,25%,None,Improved,Current,Yes, 165.9 , 69.8 , 29.7 ,23.2,23.6
15,5.5,Current,25%,75%,Improved,Current,Yes, 135.9 , 37.9 , 23.9 ,37.0,38.4
15,5.5,Improved,Current,None,Improved,Current,Yes, 166.6 , 65.5 , 29.7 ,22.8,23.5
15,5.5,Improved,Current,75%,Improved,Current,Yes, 136.3 , 33.6 , 23.9 ,36.9,38.5
15,5.5,Improved,25%,None,Improved,Current,Yes, 164.0 , 67.8 , 29.3 ,24.0,24.5
15,5.5,Improved,25%,75%,Improved,Current,Yes, 134.0 , 35.9 , 23.6 ,38.0,39.4
5,2.8,Current,Current,None,Improved,ASHP,Yes, 148.1 , 84.8 , 25.6 ,31.4,34.0
5,2.8,Current,Current,75%,Improved,ASHP,Yes, 134.5 , 55.0 , 23.2 ,37.7,40.2
5,2.8,Current,25%,None,Improved,ASHP,Yes, 144.5 , 87.5 , 25.0 ,33.1,35.6
5,2.8,Current,25%,75%,Improved,ASHP,Yes, 130.9 , 57.8 , 22.6 ,39.4,41.8
5,2.8,Improved,Current,None,Improved,ASHP,Yes, 147.1 , 83.0 , 25.5 ,31.9,34.5
5,2.8,Improved,Current,75%,Improved,ASHP,Yes, 133.6 , 53.0 , 23.1 ,38.1,40.7
5,2.8,Improved,25%,None,Improved,ASHP,Yes, 143.5 , 85.6 , 24.9 ,33.6,36.0
5,2.8,Improved,25%,75%,Improved,ASHP,Yes, 130.0 , 55.8 , 22.4 ,39.8,42.2
5,4,Current,Current,None,Improved,ASHP,Yes, 144.6 , 77.8 , 25.0 ,33.0,35.6
5,4,Current,Current,75%,Improved,ASHP,Yes, 130.6 , 47.0 , 22.5 ,39.5,42.0
5,4,Current,25%,None,Improved,ASHP,Yes, 140.8 , 80.2 , 24.4 ,34.8,37.2
5,4,Current,25%,75%,Improved,ASHP,Yes, 127.0 , 49.6 , 21.9 ,41.2,43.6
5,4,Improved,Current,None,Improved,ASHP,Yes, 143.6 , 75.8 , 24.9 ,33.5,36.0
5,4,Improved,Current,75%,Improved,ASHP,Yes, 129.6 , 45.0 , 22.4 ,40.0,42.5
5,4,Improved,25%,None,Improved,ASHP,Yes, 139.9 , 78.3 , 24.2 ,35.2,37.6
5,4,Improved,25%,75%,Improved,ASHP,Yes, 126.0 , 47.6 , 21.7 ,41.7,44.0
5,5.5,Current,Current,None,Improved,ASHP,Yes, 142.8 , 74.1 , 24.7 ,33.9,36.4
5,5.5,Current,Current,75%,Improved,ASHP,Yes, 128.7 , 43.0 , 22.2 ,40.4,42.9
5,5.5,Current,25%,None,Improved,ASHP,Yes, 139.0 , 76.5 , 24.1 ,35.6,38.0
5,5.5,Current,25%,75%,Improved,ASHP,Yes, 125.0 , 45.5 , 21.6 ,42.1,44.5
5,5.5,Improved,Current,None,Improved,ASHP,Yes, 141.8 , 72.1 , 24.5 ,34.3,36.8
5,5.5,Improved,Current,75%,Improved,ASHP,Yes, 127.7 , 41.1 , 22.0 ,40.8,43.3
5,5.5,Improved,25%,None,Improved,ASHP,Yes, 138.1 , 74.6 , 23.9 ,36.1,38.5
5,5.5,Improved,25%,75%,Improved,ASHP,Yes, 124.0 , 43.5 , 21.4 ,42.6,44.9
10,2.8,Current,Current,None,Improved,ASHP,Yes, 145.6 , 79.9 , 25.2 ,32.6,35.1
10,2.8,Current,Current,75%,Improved,ASHP,Yes, 131.7 , 49.4 , 22.7 ,39.0,41.5
10,2.8,Current,25%,None,Improved,ASHP,Yes, 141.8 , 82.4 , 24.6 ,34.3,36.8
10,2.8,Current,25%,75%,Improved,ASHP,Yes, 128.1 , 52.1 , 22.1 ,40.7,43.1
10,2.8,Improved,Current,None,Improved,ASHP,Yes, 144.6 , 78.0 , 25.0 ,33.0,35.6
10,2.8,Improved,Current,75%,Improved,ASHP,Yes, 130.7 , 47.4 , 22.5 ,39.5,42.0
10,2.8,Improved,25%,None,Improved,ASHP,Yes, 140.9 , 80.6 , 24.4 ,34.8,37.2
10,2.8,Improved,25%,75%,Improved,ASHP,Yes, 127.1 , 50.1 , 21.9 ,41.1,43.5
10,4,Current,Current,None,Improved,ASHP,Yes, 142.0 , 72.6 , 24.6 ,34.2,36.8
10,4,Current,Current,75%,Improved,ASHP,Yes, 127.8 , 41.4 , 22.0 ,40.8,43.3
10,4,Current,25%,None,Improved,ASHP,Yes, 138.1 , 74.9 , 23.9 ,36.0,38.5
10,4,Current,25%,75%,Improved,ASHP,Yes, 124.1 , 43.9 , 21.4 ,42.5,44.9
10,4,Improved,Current,None,Improved,ASHP,Yes, 141.0 , 70.6 , 24.4 ,34.7,37.2
10,4,Improved,Current,75%,Improved,ASHP,Yes, 126.8 , 39.4 , 21.9 ,41.3,43.7
10,4,Improved,25%,None,Improved,ASHP,Yes, 137.3 , 73.1 , 23.8 ,36.4,38.8
10,4,Improved,25%,75%,Improved,ASHP,Yes, 123.1 , 41.9 , 21.2 ,43.0,45.3
10,5.5,Current,Current,None,Improved,ASHP,Yes, 140.2 , 69.0 , 24.2 ,35.1,37.6
10,5.5,Current,Current,75%,Improved,ASHP,Yes, 125.9 , 37.5 , 21.7 ,41.7,44.1
10,5.5,Current,25%,None,Improved,ASHP,Yes, 136.3 , 71.1 , 23.6 ,36.9,39.3
10,5.5,Current,25%,75%,Improved,ASHP,Yes, 122.1 , 39.9 , 21.1 ,43.4,45.8
10,5.5,Improved,Current,None,Improved,ASHP,Yes, 139.2 , 66.9 , 24.1 ,35.6,38.0
10,5.5,Improved,Current,75%,Improved,ASHP,Yes, 124.9 , 35.5 , 21.5 ,42.1,44.6
10,5.5,Improved,25%,None,Improved,ASHP,Yes, 135.4 , 69.3 , 23.4 ,37.3,39.7
10,5.5,Improved,25%,75%,Improved,ASHP,Yes, 121.2 , 37.8 , 20.9 ,43.9,46.2
15,2.8,Current,Current,None,Improved,ASHP,Yes, 144.7 , 78.3 , 25.0 ,33.0,35.5
15,2.8,Current,Current,75%,Improved,ASHP,Yes, 130.7 , 47.5 , 22.5 ,39.5,42.0
15,2.8,Current,25%,None,Improved,ASHP,Yes, 140.8 , 80.5 , 24.4 ,34.8,37.2
15,2.8,Current,25%,75%,Improved,ASHP,Yes, 127.1 , 50.1 , 21.9 ,41.1,43.5
15,2.8,Improved,Current,None,Improved,ASHP,Yes, 143.8 , 76.4 , 24.9 ,33.4,36.0
15,2.8,Improved,Current,75%,Improved,ASHP,Yes, 129.7 , 45.5 , 22.4 ,39.9,42.4
15,2.8,Improved,25%,None,Improved,ASHP,Yes, 139.9 , 78.7 , 24.2 ,35.2,37.6
15,2.8,Improved,25%,75%,Improved,ASHP,Yes, 126.1 , 48.1 , 21.8 ,41.6,44.0
15,4,Current,Current,None,Improved,ASHP,Yes, 141.0 , 70.8 , 24.4 ,34.7,37.2
15,4,Current,Current,75%,Improved,ASHP,Yes, 126.8 , 39.5 , 21.9 ,41.3,43.7
15,4,Current,25%,None,Improved,ASHP,Yes, 137.2 , 73.1 , 23.8 ,36.4,38.8
15,4,Current,25%,75%,Improved,ASHP,Yes, 123.1 , 41.9 , 21.2 ,43.0,45.3
15,4,Improved,Current,None,Improved,ASHP,Yes, 140.1 , 68.9 , 24.2 ,35.1,37.6
15,4,Improved,Current,75%,Improved,ASHP,Yes, 125.9 , 37.5 , 21.7 ,41.7,44.2
15,4,Improved,25%,None,Improved,ASHP,Yes, 136.3 , 71.2 , 23.6 ,36.9,39.3
15,4,Improved,25%,75%,Improved,ASHP,Yes, 122.1 , 39.9 , 21.1 ,43.4,45.8
15,5.5,Current,Current,None,Improved,ASHP,Yes, 139.2 , 67.0 , 24.1 ,35.5,38.0
15,5.5,Current,Current,75%,Improved,ASHP,Yes, 124.9 , 35.6 , 21.5 ,42.1,44.6
15,5.5,Current,25%,None,Improved,ASHP,Yes, 135.4 , 69.4 , 23.4 ,37.3,39.7
15,5.5,Current,25%,75%,Improved,ASHP,Yes, 121.2 , 37.9 , 20.9 ,43.9,46.2
15,5.5,Improved,Current,None,Improved,ASHP,Yes, 138.2 , 65.3 , 23.9 ,36.0,38.5
15,5.5,Improved,Current,75%,Improved,ASHP,Yes, 123.9 , 33.6 , 21.3 ,42.6,45.1
15,5.5,Improved,25%,None,Improved,ASHP,Yes, 134.5 , 67.5 , 23.3 ,37.7,40.1
15,5.5,Improved,25%,75%,Improved,ASHP,Yes, 120.2 , 35.9 , 20.7 ,44.3,46.6
