Spandrels R,Glass R,Air Leakage,LPD,ERV,Controls,HVAC System,Solar PV,TEUI kWh/m2,TEDI kWh/m2,GHGI kgCO2/m2,En Saving %,GHG Saving%
15,2.8,Improved,25%,None,Current,Current,No, 204.7 , 94.0 , 36.8 ,5.2,5.3
15,2.8,Improved,25%,75%,Current,Current,No, 171.7 , 58.6 , 30.5 ,20.5,21.6
15,4,Current,Current,None,Current,Current,No, 201.5 , 85.4 , 36.1 ,6.7,7.1
15,4,Current,Current,75%,Current,Current,No, 168.0 , 50.0 , 29.7 ,22.2,23.6
15,4,Current,25%,None,Current,Current,No, 199.0 , 87.8 , 35.7 ,7.8,8.0
15,4,Current,25%,75%,Current,Current,No, 165.7 , 52.5 , 29.3 ,23.3,24.5
15,4,Improved,Current,None,Current,Current,No, 199.7 , 83.4 , 35.8 ,7.5,8.0
15,4,Improved,Current,75%,Current,Current,No, 166.1 , 48.1 , 29.3 ,23.1,24.6
15,4,Improved,25%,None,Current,Current,No, 197.1 , 85.8 , 35.4 ,8.7,8.9
15,4,Improved,25%,75%,Current,Current,No, 163.7 , 50.5 , 29.0 ,24.2,25.5
15,5.5,Current,Current,None,Current,Current,No, 198.0 , 81.5 , 35.4 ,8.3,8.8
15,5.5,Current,Current,75%,Current,Current,No, 164.2 , 46.1 , 28.9 ,24.0,25.5
15,5.5,Current,25%,None,Current,Current,No, 195.3 , 83.8 , 35.0 ,9.6,9.8
15,5.5,Current,25%,75%,Current,Current,No, 161.7 , 48.5 , 28.6 ,25.1,26.4
15,5.5,Improved,Current,None,Current,Current,No, 195.9 , 79.5 , 35.0 ,9.3,9.8
15,5.5,Improved,Current,75%,Current,Current,No, 162.0 , 44.2 , 28.5 ,25.0,26.6
15,5.5,Improved,25%,None,Current,Current,No, 193.5 , 81.8 , 34.7 ,10.4,10.7
15,5.5,Improved,25%,75%,Current,Current,No, 159.8 , 46.5 , 28.2 ,26.0,27.4
5,2.8,Current,Current,None,Improved,Current,No, 188.4 , 87.0 , 33.8 ,12.8,12.9
5,2.8,Current,Current,75%,Improved,Current,No, 159.2 , 55.0 , 28.2 ,26.3,27.4
5,2.8,Current,25%,None,Improved,Current,No, 186.2 , 89.7 , 33.5 ,13.8,13.7
5,2.8,Current,25%,75%,Improved,Current,No, 157.0 , 57.7 , 27.9 ,27.3,28.2
5,2.8,Improved,Current,None,Improved,Current,No, 186.6 , 85.0 , 33.5 ,13.6,13.8
5,2.8,Improved,Current,75%,Improved,Current,No, 157.2 , 53.0 , 27.9 ,27.2,28.3
5,2.8,Improved,25%,None,Improved,Current,No, 184.3 , 87.7 , 33.1 ,14.7,14.7
5,2.8,Improved,25%,75%,Improved,Current,No, 155.1 , 55.7 , 27.5 ,28.2,29.1
5,4,Current,Current,None,Improved,Current,No, 181.0 , 78.9 , 32.4 ,16.2,16.6
5,4,Current,Current,75%,Improved,Current,No, 151.5 , 47.0 , 26.8 ,29.9,31.1
5,4,Current,25%,None,Improved,Current,No, 178.6 , 81.6 , 32.1 ,17.3,17.5
5,4,Current,25%,75%,Improved,Current,No, 149.2 , 49.6 , 26.4 ,30.9,32.0
5,4,Improved,Current,None,Improved,Current,No, 179.2 , 77.0 , 32.1 ,17.0,17.4
5,4,Improved,Current,75%,Improved,Current,No, 149.6 , 45.0 , 26.4 ,30.7,32.1
5,4,Improved,25%,None,Improved,Current,No, 176.7 , 79.5 , 31.7 ,18.2,18.4
5,4,Improved,25%,75%,Improved,Current,No, 147.3 , 47.6 , 26.1 ,31.8,32.9
5,5.5,Current,Current,None,Improved,Current,No, 177.3 , 75.0 , 31.7 ,17.9,18.3
5,5.5,Current,Current,75%,Improved,Current,No, 147.6 , 43.0 , 26.0 ,31.6,33.0
5,5.5,Current,25%,None,Improved,Current,No, 174.8 , 77.5 , 31.3 ,19.0,19.3
5,5.5,Current,25%,75%,Improved,Current,No, 145.4 , 45.5 , 25.7 ,32.7,33.9
5,5.5,Improved,Current,None,Improved,Current,No, 175.5 , 73.0 , 31.4 ,18.7,19.2
5,5.5,Improved,Current,75%,Improved,Current,No, 145.7 , 41.0 , 25.7 ,32.5,34.0
5,5.5,Improved,25%,None,Improved,Current,No, 173.0 , 75.5 , 31.0 ,19.9,20.2
5,5.5,Improved,25%,75%,Improved,Current,No, 143.4 , 43.5 , 25.3 ,33.6,34.8
10,2.8,Current,Current,None,Improved,Current,No, 183.1 , 81.3 , 32.8 ,15.2,15.5
10,2.8,Current,Current,75%,Improved,Current,No, 153.7 , 49.4 , 27.2 ,28.8,30.0
10,2.8,Current,25%,None,Improved,Current,No, 180.8 , 84.0 , 32.5 ,16.3,16.4
10,2.8,Current,25%,75%,Improved,Current,No, 151.5 , 52.0 , 26.9 ,29.8,30.8
10,2.8,Improved,Current,None,Improved,Current,No, 181.3 , 79.4 , 32.5 ,16.1,16.4
10,2.8,Improved,Current,75%,Improved,Current,No, 151.8 , 47.4 , 26.8 ,29.7,31.0
10,2.8,Improved,25%,None,Improved,Current,No, 178.9 , 82.0 , 32.1 ,17.1,17.3
10,2.8,Improved,25%,75%,Improved,Current,No, 149.6 , 50.0 , 26.5 ,30.7,31.8
10,4,Current,Current,None,Improved,Current,No, 175.8 , 73.3 , 31.4 ,18.6,19.1
10,4,Current,Current,75%,Improved,Current,No, 146.0 , 41.4 , 25.7 ,32.4,33.8
10,4,Current,25%,None,Improved,Current,No, 173.3 , 75.8 , 31.1 ,19.8,20.1
10,4,Current,25%,75%,Improved,Current,No, 143.7 , 43.9 , 25.4 ,33.5,34.7
10,4,Improved,Current,None,Improved,Current,No, 173.9 , 71.4 , 31.1 ,19.5,20.0
10,4,Improved,Current,75%,Improved,Current,No, 144.0 , 39.4 , 25.3 ,33.3,34.8
10,4,Improved,25%,None,Improved,Current,No, 171.4 , 73.8 , 30.7 ,20.6,21.0
10,4,Improved,25%,75%,Improved,Current,No, 141.7 , 41.8 , 25.0 ,34.4,35.7
10,5.5,Current,Current,None,Improved,Current,No, 172.1 , 69.4 , 30.7 ,20.3,20.9
10,5.5,Current,Current,75%,Improved,Current,No, 142.1 , 37.4 , 25.0 ,34.2,35.7
10,5.5,Current,25%,None,Improved,Current,No, 169.5 , 71.8 , 30.3 ,21.5,21.9
