Spandrels R,Glass R,Air Leakage,LPD,ERV,Controls,HVAC System,TEUI kWh/m2,TEDI kWh/m2,GHGI kgCO2/m2,En Saving %,GHG Saving%
5,2.8,Current,Current,None,Improved,Current, 188 , 87 , 34 ,13,13
5,2.8,Current,Current,75%,Improved,Current, 159 , 55 , 28 ,26,27
5,2.8,Current,25%,None,Improved,Current, 186 , 90 , 34 ,14,14
5,2.8,Current,25%,75%,Improved,Current, 157 , 58 , 28 ,27,28
5,2.8,Improved,Current,None,Improved,Current, 187 , 85 , 33 ,14,14
5,2.8,Improved,Current,75%,Improved,Current, 157 , 53 , 28 ,27,28
5,2.8,Improved,25%,None,Improved,Current, 184 , 88 , 33 ,15,15
5,2.8,Improved,25%,75%,Improved,Current, 155 , 56 , 28 ,28,29
5,4,Current,Current,None,Improved,Current, 181 , 79 , 32 ,16,17
5,4,Current,Current,75%,Improved,Current, 151 , 47 , 27 ,30,31
5,4,Current,25%,None,Improved,Current, 179 , 82 , 32 ,17,17
5,4,Current,25%,75%,Improved,Current, 149 , 50 , 26 ,31,32
5,4,Improved,Current,None,Improved,Current, 179 , 77 , 32 ,17,17
5,4,Improved,Current,75%,Improved,Current, 150 , 45 , 26 ,31,32
5,4,Improved,25%,None,Improved,Current, 177 , 80 , 32 ,18,18
5,4,Improved,25%,75%,Improved,Current, 147 , 48 , 26 ,32,33
5,5.5,Current,Current,None,Improved,Current, 177 , 75 , 32 ,18,18
5,5.5,Current,Current,75%,Improved,Current, 148 , 43 , 26 ,32,33
5,5.5,Current,25%,None,Improved,Current, 175 , 77 , 31 ,19,19
5,5.5,Current,25%,75%,Improved,Current, 145 , 46 , 26 ,33,34
5,5.5,Improved,Current,None,Improved,Current, 176 , 73 , 31 ,19,19
5,5.5,Improved,Current,75%,Improved,Current, 146 , 41 , 26 ,33,34
5,5.5,Improved,25%,None,Improved,Current, 173 , 75 , 31 ,20,20
5,5.5,Improved,25%,75%,Improved,Current, 143 , 43 , 25 ,34,35
10,2.8,Current,Current,None,Improved,Current, 183 , 81 , 33 ,15,15
10,2.8,Current,Current,75%,Improved,Current, 154 , 49 , 27 ,29,30
10,2.8,Current,25%,None,Improved,Current, 181 , 84 , 32 ,16,16
10,2.8,Current,25%,75%,Improved,Current, 152 , 52 , 27 ,30,31
10,2.8,Improved,Current,None,Improved,Current, 181 , 79 , 32 ,16,16
10,2.8,Improved,Current,75%,Improved,Current, 152 , 47 , 27 ,30,31
10,2.8,Improved,25%,None,Improved,Current, 179 , 82 , 32 ,17,17
10,2.8,Improved,25%,75%,Improved,Current, 150 , 50 , 26 ,31,32
10,4,Current,Current,None,Improved,Current, 176 , 73 , 31 ,19,19
10,4,Current,Current,75%,Improved,Current, 146 , 41 , 26 ,32,34
10,4,Current,25%,None,Improved,Current, 173 , 76 , 31 ,20,20
10,4,Current,25%,75%,Improved,Current, 144 , 44 , 25 ,33,35
10,4,Improved,Current,None,Improved,Current, 174 , 71 , 31 ,19,20
10,4,Improved,Current,75%,Improved,Current, 144 , 39 , 25 ,33,35
10,4,Improved,25%,None,Improved,Current, 171 , 74 , 31 ,21,21
10,4,Improved,25%,75%,Improved,Current, 142 , 42 , 25 ,34,36
10,5.5,Current,Current,None,Improved,Current, 172 , 69 , 31 ,20,21
10,5.5,Current,Current,75%,Improved,Current, 142 , 37 , 25 ,34,36
10,5.5,Current,25%,None,Improved,Current, 170 , 72 , 30 ,21,22
10,5.5,Current,25%,75%,Improved,Current, 140 , 40 , 25 ,35,37
10,5.5,Improved,Current,None,Improved,Current, 170 , 67 , 30 ,21,22
10,5.5,Improved,Current,75%,Improved,Current, 140 , 35 , 25 ,35,37
10,5.5,Improved,25%,None,Improved,Current, 168 , 70 , 30 ,22,23
10,5.5,Improved,25%,75%,Improved,Current, 138 , 38 , 24 ,36,38
15,2.8,Current,Current,None,Improved,Current, 181 , 79 , 32 ,16,16
15,2.8,Current,Current,75%,Improved,Current, 152 , 47 , 27 ,30,31
15,2.8,Current,25%,None,Improved,Current, 179 , 82 , 32 ,17,17
15,2.8,Current,25%,75%,Improved,Current, 150 , 50 , 27 ,31,32
15,2.8,Improved,Current,None,Improved,Current, 179 , 77 , 32 ,17,17
15,2.8,Improved,Current,75%,Improved,Current, 150 , 45 , 26 ,31,32
15,2.8,Improved,25%,None,Improved,Current, 177 , 80 , 32 ,18,18
15,2.8,Improved,25%,75%,Improved,Current, 148 , 48 , 26 ,32,33
15,4,Current,Current,None,Improved,Current, 174 , 71 , 31 ,19,20
15,4,Current,Current,75%,Improved,Current, 144 , 39 , 25 ,33,35
15,4,Current,25%,None,Improved,Current, 171 , 74 , 31 ,21,21
15,4,Current,25%,75%,Improved,Current, 142 , 42 , 25 ,34,36
15,4,Improved,Current,None,Improved,Current, 172 , 69 , 31 ,20,21
15,4,Improved,Current,75%,Improved,Current, 142 , 37 , 25 ,34,36
15,4,Improved,25%,None,Improved,Current, 170 , 72 , 30 ,21,22
15,4,Improved,25%,75%,Improved,Current, 140 , 40 , 25 ,35,37
15,5.5,Current,Current,None,Improved,Current, 170 , 67 , 30 ,21,22
15,5.5,Current,Current,75%,Improved,Current, 140 , 36 , 25 ,35,37
15,5.5,Current,25%,None,Improved,Current, 168 , 70 , 30 ,22,23
15,5.5,Current,25%,75%,Improved,Current, 138 , 38 , 24 ,36,38
15,5.5,Improved,Current,None,Improved,Current, 168 , 66 , 30 ,22,23
15,5.5,Improved,Current,75%,Improved,Current, 138 , 34 , 24 ,36,38
15,5.5,Improved,25%,None,Improved,Current, 166 , 68 , 30 ,23,24
15,5.5,Improved,25%,75%,Improved,Current, 136 , 36 , 24 ,37,39
5,2.8,Current,Current,None,Improved,ASHP, 150 , 85 , 26 ,31,33
5,2.8,Current,Current,75%,Improved,ASHP, 136 , 55 , 24 ,37,39
5,2.8,Current,25%,None,Improved,ASHP, 146 , 87 , 25 ,32,35
5,2.8,Current,25%,75%,Improved,ASHP, 133 , 58 , 23 ,39,41
5,2.8,Improved,Current,None,Improved,ASHP, 149 , 83 , 26 ,31,34
5,2.8,Improved,Current,75%,Improved,ASHP, 135 , 53 , 23 ,37,40
5,2.8,Improved,25%,None,Improved,ASHP, 145 , 86 , 25 ,33,35
5,2.8,Improved,25%,75%,Improved,ASHP, 132 , 56 , 23 ,39,41
5,4,Current,Current,None,Improved,ASHP, 146 , 78 , 25 ,32,35
5,4,Current,Current,75%,Improved,ASHP, 132 , 47 , 23 ,39,41
5,4,Current,25%,None,Improved,ASHP, 143 , 80 , 25 ,34,36
5,4,Current,25%,75%,Improved,ASHP, 129 , 50 , 22 ,40,43
5,4,Improved,Current,None,Improved,ASHP, 145 , 76 , 25 ,33,35
5,4,Improved,Current,75%,Improved,ASHP, 131 , 45 , 23 ,39,42
5,4,Improved,25%,None,Improved,ASHP, 142 , 78 , 25 ,34,37
5,4,Improved,25%,75%,Improved,ASHP, 128 , 48 , 22 ,41,43
5,5.5,Current,Current,None,Improved,ASHP, 145 , 74 , 25 ,33,36
5,5.5,Current,Current,75%,Improved,ASHP, 131 , 43 , 23 ,40,42
5,5.5,Current,25%,None,Improved,ASHP, 141 , 76 , 24 ,35,37
5,5.5,Current,25%,75%,Improved,ASHP, 127 , 46 , 22 ,41,44
5,5.5,Improved,Current,None,Improved,ASHP, 144 , 72 , 25 ,33,36
5,5.5,Improved,Current,75%,Improved,ASHP, 130 , 41 , 22 ,40,42
5,5.5,Improved,25%,None,Improved,ASHP, 140 , 75 , 24 ,35,38
5,5.5,Improved,25%,75%,Improved,ASHP, 126 , 44 , 22 ,42,44
